Far field
"Phi"[deg]	"FarField1 [dBV]"	
0.00000000E+00	-1.33553335E+01	
5.00000000E-01	-1.34856016E+01	
1.00000000E+00	-1.36120657E+01	
1.50000000E+00	-1.37342708E+01	
2.00000000E+00	-1.38516896E+01	
2.50000000E+00	-1.39637185E+01	
3.00000000E+00	-1.40696774E+01	
3.50000000E+00	-1.41688118E+01	
4.00000000E+00	-1.42602991E+01	
4.50000000E+00	-1.43432591E+01	
5.00000000E+00	-1.44167692E+01	
5.50000000E+00	-1.44798850E+01	
6.00000000E+00	-1.45316656E+01	
6.50000000E+00	-1.45712041E+01	
7.00000000E+00	-1.45976610E+01	
7.50000000E+00	-1.46103004E+01	
8.00000000E+00	-1.46085262E+01	
8.50000000E+00	-1.45919160E+01	
9.00000000E+00	-1.45602509E+01	
9.50000000E+00	-1.45135383E+01	
1.00000000E+01	-1.44520262E+01	
1.05000000E+01	-1.43762082E+01	
1.10000000E+01	-1.42868175E+01	
1.15000000E+01	-1.41848126E+01	
1.20000000E+01	-1.40713544E+01	
1.25000000E+01	-1.39477779E+01	
1.30000000E+01	-1.38155594E+01	
1.35000000E+01	-1.36762842E+01	
1.40000000E+01	-1.35316138E+01	
1.45000000E+01	-1.33832573E+01	
1.50000000E+01	-1.32329465E+01	
1.55000000E+01	-1.30824169E+01	
1.60000000E+01	-1.29333936E+01	
1.65000000E+01	-1.27875834E+01	
1.70000000E+01	-1.26466728E+01	
1.75000000E+01	-1.25123302E+01	
1.80000000E+01	-1.23862141E+01	
1.85000000E+01	-1.22699851E+01	
1.90000000E+01	-1.21653221E+01	
1.95000000E+01	-1.20739436E+01	
2.00000000E+01	-1.19976329E+01	
2.05000000E+01	-1.19382680E+01	
2.10000000E+01	-1.18978587E+01	
2.15000000E+01	-1.18785893E+01	
2.20000000E+01	-1.18828721E+01	
2.25000000E+01	-1.19134123E+01	
2.30000000E+01	-1.19732897E+01	
2.35000000E+01	-1.20660628E+01	
2.40000000E+01	-1.21959039E+01	
2.45000000E+01	-1.23677794E+01	
2.50000000E+01	-1.25876934E+01	
2.55000000E+01	-1.28630276E+01	
2.60000000E+01	-1.32030263E+01	
2.65000000E+01	-1.36195099E+01	
2.70000000E+01	-1.41279620E+01	
2.75000000E+01	-1.47492514E+01	
2.80000000E+01	-1.55124969E+01	
2.85000000E+01	-1.64601181E+01	
2.90000000E+01	-1.76574310E+01	
2.95000000E+01	-1.92127160E+01	
3.00000000E+01	-2.13250343E+01	
3.05000000E+01	-2.44209200E+01	
3.10000000E+01	-2.96414086E+01	
3.15000000E+01	-3.66161752E+01	
3.20000000E+01	-2.82377258E+01	
3.25000000E+01	-2.26047923E+01	
3.30000000E+01	-1.89260520E+01	
3.35000000E+01	-1.61737073E+01	
3.40000000E+01	-1.39553621E+01	
3.45000000E+01	-1.20849500E+01	
3.50000000E+01	-1.04603517E+01	
3.55000000E+01	-9.01970886E+00	
3.60000000E+01	-7.72282216E+00	
3.65000000E+01	-6.54216490E+00	
3.70000000E+01	-5.45811479E+00	
3.75000000E+01	-4.45623452E+00	
3.80000000E+01	-3.52562943E+00	
3.85000000E+01	-2.65790833E+00	
3.90000000E+01	-1.84650025E+00	
3.95000000E+01	-1.08619033E+00	
4.00000000E+01	-3.72795959E-01	
