S-parameter
"disp"[]	"S21 [dB]"	
-4.00000000E-02	-4.23582144E+01	
-3.89873418E-02	-4.34724485E+01	
-3.79746835E-02	-4.49887099E+01	
-3.69620253E-02	-4.68370804E+01	
-3.59493671E-02	-4.88460810E+01	
-3.49367089E-02	-5.09747764E+01	
-3.39240506E-02	-4.82042052E+01	
-3.29113924E-02	-4.87217186E+01	
-3.18987342E-02	-4.97447072E+01	
-3.08860759E-02	-5.24488804E+01	
-2.98734177E-02	-5.85516729E+01	
-2.88607595E-02	-6.05191842E+01	
-2.78481013E-02	-5.36257302E+01	
-2.68354430E-02	-4.90492663E+01	
-2.58227848E-02	-6.68469780E+01	
-2.48101266E-02	-5.33881958E+01	
-2.37974684E-02	-5.58421462E+01	
-2.27848101E-02	-5.22510396E+01	
-2.17721519E-02	-5.64621508E+01	
-2.07594937E-02	-4.44698570E+01	
-1.97468354E-02	-4.42767949E+01	
-1.87341772E-02	-4.49420941E+01	
-1.77215190E-02	-5.33808910E+01	
-1.67088608E-02	-5.10179089E+01	
-1.56962025E-02	-4.83567276E+01	
-1.46835443E-02	-5.68339231E+01	
-1.36708861E-02	-5.00619082E+01	
-1.26582278E-02	-4.94668829E+01	
-1.16455696E-02	-5.18346802E+01	
-1.06329114E-02	-5.81639916E+01	
-9.62025316E-03	-5.02323467E+01	
-8.60759494E-03	-5.11243976E+01	
-7.59493671E-03	-5.44084837E+01	
-6.58227848E-03	-4.93361843E+01	
-5.56962025E-03	-5.04589145E+01	
-4.55696203E-03	-5.27163303E+01	
-3.54430380E-03	-5.47255891E+01	
-2.53164557E-03	-5.47814761E+01	
-1.51898734E-03	-5.11518972E+01	
-5.06329114E-04	-4.94577019E+01	
5.06329114E-04	-4.91217562E+01	
1.51898734E-03	-4.94176926E+01	
2.53164557E-03	-4.95870123E+01	
3.54430380E-03	-4.93773832E+01	
4.55696203E-03	-4.88898835E+01	
5.56962025E-03	-4.87488686E+01	
6.58227848E-03	-4.80622002E+01	
7.59493671E-03	-4.84853233E+01	
8.60759494E-03	-4.83795241E+01	
9.62025316E-03	-4.81336139E+01	
1.06329114E-02	-4.78732914E+01	
1.16455696E-02	-4.68330388E+01	
1.26582278E-02	-4.58638741E+01	
1.36708861E-02	-4.52054236E+01	
1.46835443E-02	-4.57479645E+01	
1.56962025E-02	-4.51825566E+01	
1.67088608E-02	-4.41691669E+01	
1.77215190E-02	-4.32788172E+01	
1.87341772E-02	-4.22275800E+01	
1.97468354E-02	-4.15611331E+01	
2.07594937E-02	-4.14356492E+01	
2.17721519E-02	-4.35121472E+01	
2.27848101E-02	-4.48764282E+01	
2.37974684E-02	-4.83029021E+01	
2.48101266E-02	-5.32309307E+01	
2.58227848E-02	-6.23525352E+01	
2.68354430E-02	-5.16086858E+01	
2.78481013E-02	-4.99035054E+01	
2.88607595E-02	-4.88409853E+01	
2.98734177E-02	-4.84770490E+01	
3.08860759E-02	-4.91978446E+01	
3.18987342E-02	-5.43906289E+01	
3.29113924E-02	-5.46638658E+01	
3.39240506E-02	-5.20618144E+01	
3.49367089E-02	-5.28813911E+01	
3.59493671E-02	-4.75725332E+01	
3.69620253E-02	-4.83688428E+01	
3.79746835E-02	-4.66996048E+01	
3.89873418E-02	-4.70905696E+01	
4.00000000E-02	-4.72101937E+01	
